src_ip,dst_ip,protocol,len,src_port,dst_port,flags
10.135.157.7,71.18.222.1,6,40,55074,443,A
10.135.157.7,71.18.222.1,6,0,55074,443,PA
10.135.157.7,140.82.113.26,6,41,54851,443,A
71.18.222.1,10.135.157.7,6,52,443,55075,SA
10.135.157.7,71.18.222.1,6,40,55075,443,A
10.135.157.7,71.18.222.1,6,0,55075,443,PA
71.18.222.1,10.135.157.7,6,40,443,55074,A
71.18.222.1,10.135.157.7,6,40,443,55074,A
71.18.222.1,10.135.157.7,6,306,443,55074,PA
10.135.157.7,71.18.222.1,6,120,55074,443,PA
10.135.157.7,71.18.222.1,6,132,55074,443,PA
10.135.157.7,71.18.222.1,6,346,55074,443,PA
10.135.157.7,71.18.222.1,6,0,55074,443,PA
71.18.222.1,10.135.157.7,6,343,443,55074,PA
71.18.222.1,10.135.157.7,6,102,443,55074,PA
71.18.222.1,10.135.157.7,6,40,443,55074,A
71.18.222.1,10.135.157.7,6,71,443,55074,PA
10.135.157.7,71.18.222.1,6,40,55074,443,A
10.135.157.7,71.18.222.1,6,71,55074,443,PA
140.82.113.26,10.135.157.7,6,52,443,54851,A
71.18.222.1,10.135.157.7,6,40,443,55075,A
71.18.222.1,10.135.157.7,6,40,443,55075,A
71.18.222.1,10.135.157.7,6,306,443,55075,PA
10.135.157.7,71.18.222.1,6,120,55075,443,PA
10.135.157.7,223.196.81.98,6,40,54514,443,FA
71.18.222.1,10.135.157.7,6,903,443,55074,PA
10.135.157.7,71.18.222.1,6,40,55074,443,A
71.18.222.1,10.135.157.7,6,343,443,55075,PA
71.18.222.1,10.135.157.7,6,102,443,55075,PA
10.135.157.7,71.18.222.1,6,40,55075,443,A
71.18.222.1,10.135.157.7,6,40,443,55074,A
10.135.157.7,71.18.222.1,6,0,55065,443,PA
71.18.222.1,10.135.157.7,6,40,443,55065,A
71.18.222.1,10.135.157.7,6,40,443,55065,A
10.135.157.7,71.18.222.1,6,52,55076,443,S
71.18.222.1,10.135.157.7,6,52,443,55076,SA
10.135.157.7,71.18.222.1,6,40,55076,443,A
10.135.157.7,71.18.222.1,6,604,55076,443,PA
71.18.222.1,10.135.157.7,6,40,443,55076,A
71.18.222.1,10.135.157.7,6,297,443,55076,PA
10.135.157.7,71.18.222.1,6,0,55076,443,PA
172.64.148.235,10.135.157.7,6,64,443,54696,PA
10.135.157.7,172.64.148.235,6,68,54696,443,PA
71.18.222.1,10.135.157.7,6,1275,443,55065,PA
172.64.148.235,10.135.157.7,6,40,443,54696,A
10.135.157.7,71.18.222.1,6,40,55065,443,A
71.18.222.1,10.135.157.7,6,40,443,55076,A
71.18.222.1,10.135.157.7,6,40,443,55076,A
10.135.157.7,104.97.76.234,6,79,54869,443,PA
71.18.222.1,10.135.157.7,6,1258,443,55076,PA
71.18.222.1,10.135.157.7,6,64,443,55076,PA
71.18.222.1,10.135.157.7,6,40,443,55076,FA
10.135.157.7,71.18.222.1,6,40,55076,443,A
10.135.157.7,71.18.222.1,6,64,55076,443,PA
10.135.157.7,71.18.222.1,6,40,55076,443,FA
104.97.76.234,10.135.157.7,6,40,443,54869,A
104.97.76.234,10.135.157.7,6,79,443,54869,PA
10.135.157.7,104.97.76.234,6,40,54869,443,A
23.64.59.49,10.135.157.7,6,79,443,55060,PA
23.64.59.49,10.135.157.7,6,64,443,55060,PA
10.135.157.7,23.64.59.49,6,40,55060,443,A
23.64.59.49,10.135.157.7,6,40,443,55060,FA
10.135.157.7,23.64.59.49,6,40,55060,443,A
71.18.222.1,10.135.157.7,6,40,443,55076,R
10.135.157.7,129.227.206.7,6,41,55053,443,A
10.135.157.7,129.227.206.4,6,41,54916,443,A
129.227.206.7,10.135.157.7,6,52,443,55053,A
129.227.206.4,10.135.157.7,6,52,443,54916,A
142.251.42.42,10.135.157.7,17,60,443,49872,
10.135.157.7,142.251.42.42,17,61,49872,443,
10.135.157.7,223.196.81.98,6,40,54514,443,FA
23.64.59.26,10.135.157.7,6,79,443,55062,PA
23.64.59.26,10.135.157.7,6,64,443,55062,PA
23.64.59.26,10.135.157.7,6,40,443,55062,FA
10.135.157.7,23.64.59.26,6,40,55062,443,A
10.135.157.7,23.64.59.26,6,41,55021,443,A
10.135.157.7,23.64.59.49,6,41,55022,443,A
23.64.59.26,10.135.157.7,6,40,443,55021,A
23.64.59.49,10.135.157.7,6,40,443,55022,A
10.135.157.7,10.135.157.218,17,61,49664,53,
10.135.157.218,10.135.157.7,17,231,53,49664,
10.135.157.7,23.206.173.120,6,52,55077,443,S
